"year","month","site","deployment_location","temp_monthly_mean","tot_obs"
1996,5,"Hayman Island","reef flat",25.17,116
1996,6,"Hayman Island","reef flat",24.4,1439
1996,7,"Hayman Island","reef flat",23.2,1488
1996,8,"Hayman Island","reef flat",22.74,1488
1996,9,"Hayman Island","reef flat",23.61,1440
1996,10,"Hayman Island","reef flat",24.96,1487
1996,11,"Hayman Island","reef flat",26.39,1440
1996,12,"Hayman Island","reef flat",28.03,1488
1997,1,"Hayman Island","reef flat",27.86,1488
1997,2,"Hayman Island","reef flat",28.51,1341
1997,3,"Hayman Island","reef flat",27.24,1488
1997,4,"Hayman Island","reef flat",26.04,1440
1997,5,"Hayman Island","reef flat",24.6,1440
1997,6,"Hayman Island","reef flat",23.13,1440
1997,7,"Hayman Island","reef flat",21.59,1488
1997,8,"Hayman Island","reef flat",21.71,1488
1997,9,"Hayman Island","reef flat",23.4,1440
1997,10,"Hayman Island","reef flat",25.17,1485
1997,11,"Hayman Island","reef flat",26.54,1440
1997,12,"Hayman Island","reef flat",28.32,1488
1998,1,"Hayman Island","reef flat",27.92,1488
1998,2,"Hayman Island","reef flat",29.75,1344
1998,3,"Hayman Island","reef flat",28.69,1487
1998,4,"Hayman Island","reef flat",27.94,1392
1998,5,"Hayman Island","reef flat",26.65,1485
1998,6,"Hayman Island","reef flat",24.57,1440
1998,7,"Hayman Island","reef flat",23,1488
1998,8,"Hayman Island","reef flat",23.25,1488
1998,9,"Hayman Island","reef flat",24.21,1440
1998,10,"Hayman Island","reef flat",25.66,1488
1998,11,"Hayman Island","reef flat",26.69,1439
1998,12,"Hayman Island","reef flat",27.7,1488
1999,1,"Hayman Island","reef flat",28.68,1488
1999,2,"Hayman Island","reef flat",28.81,1344
1999,3,"Hayman Island","reef flat",28.38,1488
1999,4,"Hayman Island","reef flat",26.58,1439
1999,5,"Hayman Island","reef flat",24.45,1488
1999,6,"Hayman Island","reef flat",23.46,1391
1999,7,"Hayman Island","reef flat",21.81,1488
1999,8,"Hayman Island","reef flat",21.19,1488
1999,9,"Hayman Island","reef flat",22.53,1440
1999,10,"Hayman Island","reef flat",24.46,1487
1999,11,"Hayman Island","reef flat",26,1440
1999,12,"Hayman Island","reef flat",26.14,1488
2000,1,"Hayman Island","reef flat",27.55,1488
2000,2,"Hayman Island","reef flat",27.45,1391
2000,3,"Hayman Island","reef flat",27.09,1488
2000,4,"Hayman Island","reef flat",26.57,1440
2000,5,"Hayman Island","reef flat",24.53,1488
2000,6,"Hayman Island","reef flat",22.05,1391
2000,7,"Hayman Island","reef flat",21.56,1488
2000,8,"Hayman Island","reef flat",21.8,1487
2000,9,"Hayman Island","reef flat",23.2,1439
2000,10,"Hayman Island","reef flat",24.47,1488
2000,11,"Hayman Island","reef flat",26.14,1440
2000,12,"Hayman Island","reef flat",26.69,1486
2001,1,"Hayman Island","reef flat",27.19,1484
2001,2,"Hayman Island","reef flat",27.72,1344
2001,3,"Hayman Island","reef flat",28.35,1488
2001,4,"Hayman Island","reef flat",26.74,1440
2001,5,"Hayman Island","reef flat",25.88,1487
2001,6,"Hayman Island","reef flat",23.92,1440
2001,7,"Hayman Island","reef flat",22.5,1487
2001,8,"Hayman Island","reef flat",22.67,1485
2001,9,"Hayman Island","reef flat",23.43,1440
2001,10,"Hayman Island","reef flat",25.12,1440
2001,11,"Hayman Island","reef flat",27.09,1440
2001,12,"Hayman Island","reef flat",28.5,1488
2002,1,"Hayman Island","reef flat",29.38,1488
2002,2,"Hayman Island","reef flat",29.57,1344
2002,3,"Hayman Island","reef flat",28.46,1488
2002,4,"Hayman Island","reef flat",26.98,1440
2002,5,"Hayman Island","reef flat",25.52,1488
2002,6,"Hayman Island","reef flat",23.91,1440
2002,7,"Hayman Island","reef flat",22.51,508
2005,7,"Hayman Island","reef flat",22.25,835
2005,8,"Hayman Island","reef flat",21.95,1486
2005,9,"Hayman Island","reef flat",22.98,1440
2005,10,"Hayman Island","reef flat",25.76,1488
2005,11,"Hayman Island","reef flat",26.99,1439
2005,12,"Hayman Island","reef flat",28.52,1488
2006,1,"Hayman Island","reef flat",28.62,1488
2006,2,"Hayman Island","reef flat",28.85,1344
2006,3,"Hayman Island","reef flat",28.1,1487
2006,4,"Hayman Island","reef flat",27.3,1438
2006,5,"Hayman Island","reef flat",25.71,1440
2006,6,"Hayman Island","reef flat",23.95,1440
2006,7,"Hayman Island","reef flat",22.98,1488
2006,8,"Hayman Island","reef flat",22.74,1488
2006,9,"Hayman Island","reef flat",23.49,1440
2006,10,"Hayman Island","reef flat",24.32,1488
2006,11,"Hayman Island","reef flat",26.37,1440
2006,12,"Hayman Island","reef flat",27.28,1488
2007,1,"Hayman Island","reef flat",28.49,1488
2007,2,"Hayman Island","reef flat",28.12,1344
2007,3,"Hayman Island","reef flat",28.33,1488
2007,4,"Hayman Island","reef flat",26.71,1440
2007,5,"Hayman Island","reef flat",25.97,1488
2007,6,"Hayman Island","reef flat",24.14,1440
2007,7,"Hayman Island","reef flat",21.74,1488
2007,8,"Hayman Island","reef flat",21.89,1488
2007,9,"Hayman Island","reef flat",23.37,1440
2007,10,"Hayman Island","reef flat",25.15,1488
2007,11,"Hayman Island","reef flat",26.51,1440
2007,12,"Hayman Island","reef flat",28.17,1488
2008,1,"Hayman Island","reef flat",28.59,1488
2008,2,"Hayman Island","reef flat",28.68,1392
2008,3,"Hayman Island","reef flat",27.06,748
2010,3,"Hayman Island","reef flat",27.15,1068
2010,4,"Hayman Island","reef flat",26.81,4320
2010,5,"Hayman Island","reef flat",25.48,4464
2010,6,"Hayman Island","reef flat",23.6,4320
2010,7,"Hayman Island","reef flat",22.84,4464
2010,8,"Hayman Island","reef flat",23.03,4464
2010,9,"Hayman Island","reef flat",24.69,4320
2010,10,"Hayman Island","reef flat",25.37,4464
2010,11,"Hayman Island","reef flat",25.85,4320
2010,12,"Hayman Island","reef flat",27.52,4464
2011,1,"Hayman Island","reef flat",28.27,4464
2011,2,"Hayman Island","reef flat",28.35,4032
2011,3,"Hayman Island","reef flat",28.19,2244
2013,8,"Hayman Island","reef flat",22.66,3228
2013,9,"Hayman Island","reef flat",23.7,4320
2013,10,"Hayman Island","reef flat",25.59,4464
2013,11,"Hayman Island","reef flat",26.84,4320
2013,12,"Hayman Island","reef flat",27.48,4464
2014,1,"Hayman Island","reef flat",28.12,4464
2014,2,"Hayman Island","reef flat",27.66,4032
2014,3,"Hayman Island","reef flat",26.96,4464
2014,4,"Hayman Island","reef flat",26.88,4320
2014,5,"Hayman Island","reef flat",25.39,4464
2014,6,"Hayman Island","reef flat",23.88,4320
2014,7,"Hayman Island","reef flat",22.52,4464
2014,8,"Hayman Island","reef flat",22.02,4464
2014,9,"Hayman Island","reef flat",23.11,4320
2014,10,"Hayman Island","reef flat",24.6,4464
2014,11,"Hayman Island","reef flat",26.55,4320
2014,12,"Hayman Island","reef flat",28.22,4464
2015,1,"Hayman Island","reef flat",28.74,3888
2015,2,"Hayman Island","reef flat",28.68,4032
2015,3,"Hayman Island","reef flat",28.77,4464
2015,4,"Hayman Island","reef flat",27.91,4320
2015,5,"Hayman Island","reef flat",25.79,4464
2015,6,"Hayman Island","reef flat",23.74,4320
2015,7,"Hayman Island","reef flat",22.59,4464
2015,8,"Hayman Island","reef flat",22.72,4464
2015,9,"Hayman Island","reef flat",23.76,4320
2015,10,"Hayman Island","reef flat",24.26,4464
2015,11,"Hayman Island","reef flat",26.71,4320
2015,12,"Hayman Island","reef flat",27.86,4464
